"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","Arduino_Nano_v3.x","","","","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf"
"C1","1","1000uF / 25V","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm",""
"J1","1","PCA9685_I2C","","","Wykluczono z płytki","",""
"J2","1","SERVO_BASE","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J3","1","SERVO_SHOULDER","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J4","1","SERVO_ELBOW","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J5","1","SERVO_WRIST_PITCH","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J6","1","SERVO_WRIST_ROT","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J7","1","SERVO_GRIPPER","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J8","1","PWM1","","","Wykluczono z płytki","",""
"J9","1","PWM2","","","Wykluczono z płytki","",""
"J10","1","PWM3","","","Wykluczono z płytki","",""
"J11","1","PWM4","","","Wykluczono z płytki","",""
"J12","1","PWM5","","","Wykluczono z płytki","",""
"J13","1","PWM6","","","Wykluczono z płytki","",""
"J14","1","POS-50-5-C2","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",""
